timestamp,title,score
1518121594.0,What Bitcoin Reveals About Financial Markets,0.0
1418749673.0,Time Inc. Begins Accepting Bitcoin Payments,0.3818
1394168235.0,Japan Won’t Impose Banking Laws on Bitcoin,-0.296
1394047989.0,"For Bitcoin, Secure Future Might Need Oversight",0.34
1393865282.0,Britain Drops Plan to Tax Trading of Bitcoins,0.0
1407776287.0,Consumer Financial Protection Bureau Warns on Bitcoins,-0.1027
1363995966.0,"Today’s Scuttlebot: Netflix TV, and Bitcoins for Drugs",0.0
1409008478.0,On To-Do List: Deposit Cash in Bitcoin A.T.M.,0.0
1386258743.0,"For Bitcoin, a Setback in China and an Endorsement on Wall Street",0.3182
1548789501.0,How Bitcoin Could Help Iran Undermine U.S. Sanctions,0.128
1386788550.0,Bitcoin Believers See a Role for Wall Street,0.0
1369796822.0,"Unlike Liberty Reserve, Bitcoin Is Not Anonymous — Yet",0.5267
1393422018.0,"Now, Nations Mull the Ways to Regulate Bitcoin",0.0
1403126528.0,List of Potential Bitcoin Bidders Is Accidentally Released,-0.34
1393259898.0,Facebook Stock Not So Different Than Bitcoin,0.0
1416257583.0,Another Bitcoin Auction to Be Held by U.S. Marshals,0.0
1515017424.0,"From Bitcoin to Russia Investigation, a Look Ahead at 2018",0.0
1399577094.0,Election Commission Votes to Allow Bitcoin Donations,0.2263
1511308553.0,Warning Signs About Another Giant Bitcoin Exchange,-0.34
1417731350.0,Second Bitcoin Auction Draws Fewer Bidders,0.0
1505721899.0,What Jamie Dimon Is Missing About Bitcoin,-0.296
1518117014.0,Cryptocurrencies Come to Campus,0.0
1412647221.0,Blockchain Is Latest Bitcoin Start-Up to Lure Big Investment,0.0
1528227656.0,One Firm Is Way Ahead of Wall Street on Bitcoin,0.0
1513677621.0,"A Bitcoin Hedge Fund’s Return: 25,004% (That Wasn’t a Typo)",0.0
1391030163.0,Law Enforcement Strikes Back in Bitcoin Hearing,-0.3612
1408386917.0,"Bitcoin’s Price Falls 12%, to Lowest Value Since May",-0.0516
1393866121.0,Bitcoin Loss Highlights Elusive Paths of Regulation,-0.3182
1404304319.0,"Winner of Bitcoin Auction, Tim Draper, Plans to Expand Currency’s Use",0.7269
1363134507.0,Today’s Scuttlebot: Bitcoin Problem and Tracking the Papacy,-0.4019
1512648916.0,"DealBook Briefing: Bitcoin Surges Past $16,000",0.0
1515112485.0,Rise of Bitcoin Competitor Ripple Creates Wealth to Rival Zuckerberg,0.6486
1322527230.0,"Today’s Scuttlebot: Drones for Everyone, and Bitcoin’s Decline",0.0
1421379246.0,Focus Is on Bitcoin Trader at Trial Over Silk Road Black Market,0.0
1601578320.0,"Owners of BitMEX, a Leading Bitcoin Exchange, Face Criminal Charges",-0.6705
1384186052.0,Today in Small Business: Now Accepting Bitcoin,0.3818
1515759239.0,Why Is South Korea Spooking the Global Bitcoin Market?,0.0
1514461371.0,South Korea Clamps Down on Bitcoin Trading Amid Market Frenzy,-0.3182
1422015691.0,Morning Agenda: Winklevosses Plan Bitcoin Exchange,0.0
1421188278.0,"As Bitcoin’s Price Slides, Signs of a Squeeze",0.0
1430492789.0,Bitcoin Comes Out of the Shadows and Into Wall Street’s Sights,0.0
1392129213.0,Daily Report: Software Error Shakes Bitcoin Exchange,-0.4019
1386287913.0,"In the Murky World of Bitcoin, Fraud Is Quicker Than the Law",-0.5859
1385379444.0,Daily Report: Virtual Currencies Seek to Challenge Bitcoin,0.0772
1384725959.0,Bitcoin Scandal Reflects Popularity of Virtual Currency in China,0.0516
1462464781.0,Australian Ends Attempt to Prove He Founded Bitcoin,0.0
1514897741.0,Peter Thiel Is a Bitcoin Believer: DealBook Briefing,0.0
1396381194.0,"To Instill Love of Bitcoin, Backers Work to Make It Safe",0.7964
1516311886.0,"When Trading in Bitcoin, Keep the Tax Man in Mind",0.0
1393380961.0,Trading Site Failure Stirs Ire and Hope for Bitcoin,-0.1027
1406652902.0,Proposed Rules Expose Rifts Among Bitcoin Enthusiasts,0.2023
1392113043.0,Exchange crash reveals bitcoin's real-world weakness,-0.6705
1517442000.0,Worries Grow That the Price of Bitcoin Is Being Propped Up,-0.4215
1394244653.0,Newsweek Returns to Print and Sets Off a Bitcoin Storm,0.0
1483527194.0,"Morning Agenda: Shifts Ahead of a Trump Administration, Bitcoin Soars",0.0
1375344333.0,6 Q’s About the News | Stacking Up the Bitcoins,0.0
1393252895.0,Chief of Mt. Gox Resigns From Bitcoin Foundation,-0.3182
1408055482.0,"For Merchants, Bitcoin Shows More Pop Than Potential",0.0
1395842564.0,"Taxes Won’t Kill Bitcoin, but Tax Reporting Might",-0.431
1409870499.0,"Charles Shrem, Bitcoin Supporter, Pleads Guilty in Court",-0.1779
1528876803.0,"Bitcoin’s Price Was Artificially Inflated, Fueling Skyrocketing Value, Researchers Say",0.34
1397079834.0,"Rolex, Art & Money: a day in the life of a bitcoin junkie",0.0
1402935166.0,Bitcoin Security Firm BitGo Raises $12 Million,0.34
1389311149.0,"Today’s Scuttlebot: A World of Bitcoins and Unicorns, and the Anniversary of the iPhone",0.0
1552381223.0,"How a Bitcoin Evangelist Made Himself Vanish, in 15 (Not So Easy) Steps",0.0
1404165578.0,"After Bitcoin Auction, Winning Bidders Remain Elusive",0.5267
1513683660.0,The Winklevoss Twins’ Path to Bitcoin Fortune: DealBook Briefing,0.0
1404165578.0,"After Bitcoin Auction, Winning Bidders Remain Elusive",0.5267
1387353876.0,Bitcoin Value Sinks After Chinese Exchange Move,0.34
1392842950.0,Winklevoss Brothers Offer an Index to Track Price of Bitcoin,0.0
1423736325.0,Hong Kong bitcoin scandal leaves investors in the dark,-0.4404
1418927711.0,New York Regulator Outlines Changes to Bitcoin Rules,0.0
1387392554.0,"Bitcoin, Nationless Currency, Still Feels Governments’ Pinch",0.0
1387451826.0,Daily Report: Government Actions Put Pressure on Bitcoin,-0.296
1552650717.0,Bitcoin Tycoon Who Oversaw Mt. Gox Implosion Gets Suspended Sentence,-0.4215
